user_id,day,nudge,steps
1,1,gentle,1744.49955360687
2,1,intense,764.0
3,1,moderate,193.0
1,2,intense,4097.845838526368
2,2,intense,4117.006658136508
3,2,gentle,870.0
1,3,intense,4334.789190011721
2,3,intense,4199.991861494318
3,3,gentle,45.0
1,4,moderate,262.0
2,4,moderate,311.0
3,4,moderate,3.0
1,5,intense,3917.2800086808797
2,5,moderate,2914.1702403539102
3,5,intense,574.0
1,6,gentle,1880.0301694067516
2,6,gentle,1721.8119773968906
3,6,moderate,789.0
1,7,moderate,569.0
2,7,moderate,2888.9922230024276
3,7,intense,4015.0351641916063
1,8,gentle,1944.2141243461713
2,8,intense,4083.106989641895
3,8,gentle,2151.4028085531204
1,9,gentle,1939.3848561444613
2,9,intense,352.0
3,9,gentle,311.0
1,10,gentle,1807.2902199002951
2,10,gentle,1805.3321033140735
3,10,gentle,2040.808289932172
1,11,intense,3775.3609933895937
2,11,intense,872.0
3,11,moderate,121.0
1,12,moderate,485.0
2,12,gentle,2187.8349214751665
3,12,intense,4395.421336733988
1,13,gentle,2223.8582779142343
2,13,intense,4041.658823586252
3,13,moderate,3196.688893836515
1,14,gentle,475.0
2,14,intense,4159.554758844058
3,14,moderate,2706.585712566914
1,15,gentle,2400.6383740685196
2,15,moderate,506.0
3,15,intense,674.0
1,16,moderate,2954.3021619876886
2,16,intense,4427.749575644632
3,16,moderate,3113.056065482616
1,17,gentle,2257.581560205957
2,17,moderate,3114.203794199973
3,17,gentle,2228.1452289789017
1,18,moderate,2969.1371993938387
2,18,moderate,3201.6674757196934
3,18,gentle,1747.046775838892
1,19,moderate,207.0
2,19,gentle,2105.7875260107144
3,19,moderate,545.0
1,20,moderate,3282.0151250699178
2,20,moderate,2544.7068274358194
3,20,moderate,326.0
1,21,moderate,897.0
2,21,moderate,3241.064105571906
3,21,moderate,900.0
1,22,intense,3802.661380198537
2,22,gentle,591.0
3,22,moderate,811.0
1,23,moderate,3162.9082342543425
2,23,intense,278.0
3,23,moderate,3066.8495409399147
1,24,moderate,2972.7751210805764
2,24,gentle,2199.923248748319
3,24,gentle,653.0
1,25,gentle,1687.927214825973
2,25,moderate,2846.2145495050972
3,25,gentle,458.0
1,26,moderate,2856.9787112667004
2,26,gentle,1808.2400483087383
3,26,intense,4069.808654623615
1,27,intense,445.0
2,27,intense,4326.351467728524
3,27,gentle,2003.3335304193401
1,28,gentle,1667.5333317204788
2,28,gentle,2075.9661730661624
3,28,gentle,635.0
1,29,moderate,442.0
2,29,gentle,355.0
3,29,intense,4071.7599062779577
1,30,moderate,2998.306107449215
2,30,gentle,162.0
3,30,intense,755.0
