Time,Step,Training loss,Validation loss,Full validation loss
15:08:47,300,0.3421,-,-
15:08:47,299,0.3641,-,-
15:08:45,298,0.3498,-,-
15:08:43,297,0.2824,-,-
15:08:43,296,1.0016,-,-
15:08:41,295,0.7826,-,-
15:08:37,294,0.7300,-,-
15:08:37,293,0.2397,-,-
15:08:35,292,0.2897,-,-
15:08:33,291,0.4629,-,-
15:08:33,290,0.3720,-,-
15:08:31,289,0.5989,-,-
15:08:29,288,0.2642,-,-
15:08:27,287,0.2349,-,-
15:08:27,286,0.2520,-,-
15:08:24,285,0.2998,-,-
15:08:22,284,0.3898,-,-
15:08:20,283,0.3894,-,-
15:08:20,282,0.2805,-,-
15:08:18,281,0.3046,-,-
15:08:16,280,0.2020,-,-
15:08:16,279,0.1855,-,-
15:08:14,278,0.1182,-,-
15:08:12,277,0.4889,-,-
15:08:10,276,0.3315,-,-
15:08:10,275,0.0998,-,-
15:08:08,274,0.2625,-,-
15:08:06,273,0.4056,-,-
15:08:06,272,0.7204,-,-
15:08:04,271,0.7627,-,-
15:08:02,270,0.2120,-,-
15:08:00,269,0.3861,-,-
15:08:00,268,0.5505,-,-
15:07:58,267,0.2087,-,-
15:07:56,266,0.5560,-,-
15:07:54,265,0.2645,-,-
15:07:54,264,0.4597,-,-
15:07:52,263,0.4087,-,-
15:07:50,262,0.2181,-,-
15:07:48,261,0.4566,-,-
15:07:48,260,0.1745,-,-
15:07:46,259,0.4665,-,-
15:07:44,258,0.2726,-,-
15:07:44,257,0.8395,-,-
15:07:42,256,0.4033,-,-
15:07:40,255,0.5627,-,-
15:07:38,254,0.5272,-,-
15:07:38,253,0.4089,-,-
15:07:36,252,0.2948,-,-
15:07:34,251,0.2402,-,-
15:07:34,250,0.2133,-,-
15:07:32,249,0.4120,-,-
15:07:30,248,0.6594,-,-
15:07:28,247,0.4042,-,-
15:07:28,246,0.2481,-,-
15:07:26,245,0.3000,-,-
15:07:24,244,0.3144,-,-
15:07:24,243,0.6007,-,-
15:07:22,242,0.4418,-,-
15:07:20,241,0.4325,-,-
15:07:18,240,0.3028,-,-
15:07:18,239,0.3111,-,-
15:07:16,238,0.7067,-,-
15:07:14,237,1.1855,-,-
15:07:12,236,0.2869,-,-
15:07:12,235,0.4442,-,-
15:07:10,234,0.3598,-,-
15:07:08,233,0.2377,-,-
15:07:08,232,0.3572,-,-
15:07:06,231,0.6181,-,-
15:07:04,230,0.2881,-,-
15:07:02,229,0.2375,-,-
15:07:00,228,0.6336,-,-
15:07:00,227,0.4456,-,-
15:06:57,226,0.4320,-,-
15:06:55,225,0.2636,-,-
15:06:55,224,0.3748,-,-
15:06:53,223,0.3995,-,-
15:06:51,222,0.4208,-,-
15:06:49,221,0.3346,-,-
15:06:49,220,0.3550,-,-
15:06:47,219,0.3802,-,-
15:06:45,218,0.3020,-,-
15:06:43,217,0.2976,-,-
15:06:43,216,0.2695,-,-
15:06:41,215,0.2028,-,-
15:06:39,214,0.2849,-,-
15:06:39,213,0.3835,-,-
15:06:37,212,0.3049,-,-
15:06:35,211,0.2147,-,-
15:06:35,210,0.3014,-,-
15:06:33,209,0.8798,-,-
15:06:31,208,0.3413,-,-
15:06:29,207,0.3281,-,-
15:06:29,206,0.2473,-,-
15:06:27,205,0.2480,-,-
15:06:25,204,0.4116,-,-
15:06:23,203,0.3845,-,-
15:06:23,202,0.3260,-,-
15:06:21,201,0.5001,-,-
15:06:19,200,0.5475,-,-
15:06:17,199,0.5702,-,-
15:06:17,198,0.6090,-,-
15:06:15,197,0.3632,-,-
15:06:13,196,0.3905,-,-
15:06:11,195,0.6237,-,-
15:06:11,194,0.6989,-,-
15:06:09,193,0.3933,-,-
15:06:07,192,0.3468,-,-
15:06:07,191,0.4644,-,-
15:06:05,190,1.1689,-,-
15:06:03,189,0.5704,-,-
15:06:01,188,0.7785,-,-
15:06:01,187,0.8354,-,-
15:05:59,186,0.5497,-,-
15:05:57,185,0.3104,-,-
15:05:55,184,0.8035,-,-
15:05:55,183,0.5554,-,-
15:05:53,182,0.3990,-,-
15:05:51,181,0.4854,-,-
15:05:49,180,0.3506,-,-
15:05:49,179,0.8964,-,-
15:05:47,178,0.3044,-,-
15:05:45,177,0.6031,-,-
15:05:45,176,0.3739,-,-
15:05:43,175,0.3318,-,-
15:05:41,174,0.4739,-,-
15:05:39,173,0.7104,-,-
15:05:38,172,0.2718,-,-
15:05:36,171,0.4177,-,-
15:05:34,170,0.3988,-,-
15:05:34,169,0.4603,-,-
15:05:32,168,0.3156,-,-
15:05:30,167,0.5343,-,-
15:05:28,166,0.3900,-,-
15:05:28,165,0.7283,-,-
15:05:26,164,0.5773,-,-
15:05:24,163,0.5626,-,-
15:05:22,162,0.6271,-,-
15:05:22,161,0.8329,-,-
15:05:20,160,0.5250,-,-
15:05:18,159,0.4114,-,-
15:05:16,158,0.4239,-,-
15:05:16,157,0.3405,-,-
15:05:14,156,0.7074,-,-
15:05:12,155,0.3770,-,-
15:05:12,154,0.3242,-,-
15:05:10,153,0.3843,-,-
15:05:08,152,0.6118,-,-
15:05:06,151,0.7741,-,-
15:05:06,150,0.4701,-,-
15:05:04,149,0.3992,-,-
15:05:02,148,0.4632,-,-
15:05:02,147,0.5721,-,-
15:05:00,146,0.3744,-,-
15:04:58,145,0.1766,-,-
15:04:56,144,0.6421,-,-
15:04:56,143,0.1945,-,-
