user_id,day,nudge,steps
1,1,gentle,1933.0011341436982
2,1,gentle,2371.5795601071613
3,1,gentle,2271.879243208397
1,2,moderate,3041.9992812577048
2,2,intense,4328.1765307243195
3,2,gentle,2056.123342810379
1,3,intense,4324.169233926205
2,3,gentle,664.0
3,3,moderate,150.0
1,4,moderate,2943.2147314223853
2,4,moderate,3195.69167290191
3,4,gentle,1975.6631082275392
1,5,intense,4071.6549280103613
2,5,intense,3946.315580976663
3,5,moderate,2990.07511548678
1,6,moderate,2919.932574308186
2,6,gentle,1752.2032519708548
3,6,intense,3988.2585378840813
1,7,gentle,2057.5384367743636
2,7,gentle,89.0
3,7,gentle,2062.2467839959545
1,8,gentle,1633.265531674639
2,8,intense,4074.662105525928
3,8,intense,149.0
1,9,gentle,2102.641194256637
2,9,intense,3789.3043512900676
3,9,intense,201.0
1,10,intense,4135.918733407312
2,10,intense,4241.4019788437545
3,10,gentle,28.0
1,11,intense,3994.172777303758
2,11,intense,955.0
3,11,gentle,177.0
1,12,intense,3860.39418216399
2,12,intense,3975.5462567801555
3,12,gentle,505.0
1,13,intense,3815.593963938819
2,13,intense,4192.631460672551
3,13,intense,515.0
1,14,gentle,1782.7426318639396
2,14,moderate,172.0
3,14,moderate,3273.5941956701813
1,15,gentle,1897.469430674728
2,15,gentle,2235.5986498594903
3,15,gentle,550.0
1,16,intense,3635.656395934311
2,16,moderate,636.0
3,16,gentle,841.0
1,17,intense,4152.461359952068
2,17,gentle,1824.5880915961652
3,17,gentle,201.0
1,18,moderate,2844.20594128594
2,18,moderate,327.0
3,18,gentle,2314.8706444765808
1,19,gentle,2175.494194075378
2,19,intense,386.0
3,19,gentle,1819.716281101541
1,20,gentle,2301.2237034761447
2,20,moderate,2924.238755130224
3,20,moderate,202.0
1,21,gentle,1942.7781053465376
2,21,gentle,1985.483818029946
3,21,gentle,234.0
1,22,moderate,3.0
2,22,moderate,2725.756407777712
3,22,intense,4056.170280237923
1,23,moderate,3482.7562790700817
2,23,moderate,624.0
3,23,intense,351.0
1,24,gentle,1883.0927278495467
2,24,moderate,726.0
3,24,intense,4167.543865119917
1,25,intense,4473.732386363536
2,25,intense,3887.3417610921256
3,25,moderate,564.0
1,26,gentle,2055.9331201815266
2,26,gentle,2195.2183620870787
3,26,intense,4004.0897745535567
1,27,intense,3802.8834679376464
2,27,intense,3960.960377568536
3,27,intense,4108.663750355351
1,28,intense,4125.836499480576
2,28,intense,3862.135332168996
3,28,moderate,942.0
1,29,intense,3964.9611871411807
2,29,intense,4076.022378562268
3,29,intense,156.0
1,30,gentle,318.0
2,30,intense,4171.800137551825
3,30,gentle,1866.1449119749775
